SysEx ID Number (MMA format),Company Name ,# of bytes,Dec 1b,Dec 2b,Dec 3b
00H 21H 3CH,GEWA Music GmbH,3,0,33,60
00H 21H 3DH,dadamachines,3,0,33,61
00H 21H 3EH,Augmented Instruments Ltd (Bela),3,0,33,62
00H 21H 3FH,Supercritical Ltd,3,0,33,63
00H 21H 40H,Genki Instruments,3,0,33,64
00H 21H 41H,Marienberg Devices Germany,3,0,33,65
00H 21H 42H,Supperware Ltd,3,0,33,66
00H 21H 43H,Imoxplus BVBA ,3,0,33,67
00H 21H 44H,Swapp Technologies SRL,3,0,33,68
00H 21H 45H,Electra One S.R.O.,3,0,33,69
00H 21H 46H,Digital Clef Limited,3,0,33,70
00H 21H 47H,Paul Whittington Group Ltd,3,0,33,71
00H 21H 48H,Music Hackspace,3,0,33,72
00H 21H 49H,Bitwig GMBH,3,0,33,73
00H 40H 00H,Crimson Technology Inc.,3,0,64,0
00H 40H 01H,Softbank Mobile Corp,3,0,64,1
00H 40H 03H,D&M Holdings Inc.,3,0,64,3
,,,,,
,,,,,
